# FSAE course centreline, digitized from endurance_2026.png
# source_md5=877c11e1865936b6f3b34a25eeab6dd8
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=964.0  closed=True  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
618.0000,172.9859,20.9237,0.061108
619.0000,173.9290,20.5915,0.056339
620.0000,174.8518,20.2066,0.051720
621.0000,175.7535,19.7745,0.047363
622.0000,176.6338,19.3003,0.043331
623.0000,177.4931,18.7889,0.029450
624.0000,178.3370,18.2524,0.009835
625.0000,179.1755,17.7075,0.008675
626.0000,180.0188,17.1701,0.028494
627.0000,180.8771,16.6572,0.052324
628.0000,181.7613,16.1904,0.083664
629.0000,182.6813,15.7997,0.126620
630.0000,183.6433,15.5306,0.182572
631.0000,184.6372,15.4390,0.222222
632.0000,185.6258,15.5752,0.190996
633.0000,186.5721,15.8951,0.125473
634.0000,187.4704,16.3335,0.076173
635.0000,188.3327,16.8397,0.039825
636.0000,189.1740,17.3802,0.010487
637.0000,190.0095,17.9297,0.016957
638.0000,190.8542,18.4647,0.047182
639.0000,191.7235,18.9586,0.085395
640.0000,192.6300,19.3799,0.094202
641.0000,193.5719,19.7146,0.090305
642.0000,194.5402,19.9630,0.081318
